"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"12","North Carolina","NC","rt siamrah93423597 adidas free metaverse hoodie 👀  0xstroudonian  fermindoteth eonthrone  onemore2556 oolearytomd imrajverma mdvan…",0,0,0,0,0,0,0,0,0,0
"12","Kansas","KS","saraeisen adidas  steel reeling   windbreaker sanctions  russia",0,0,0,0,0,0,0,0,0,0
"12","Nevada","NV","check  adidas upath run sneakers ash silver  raw khaki ee4467sz 105 gdfas‼️✔️♨️ httpstcooxuzaftmma ebay via ebay",0,0,0,0,0,0,0,0,1,0
"12","New York","NY","rt sajjadk86096161 adidas free nft hoodie 👀 tros connerm80107329 zntxzbk iirisnm saturdaydark sh83793811 h78056116 juliegr59218…",0,0,0,0,0,0,0,0,0,0
"12","New York","NY","rt fundie88mathole adidas free nft hoodie 👀 coinfreenft luckytoo13 onur112prm mukemmelsi0 akudamaraunnza draxeon2 normanh24022649…",0,0,0,0,0,0,0,0,0,0
"12","Louisiana","LA","rt solelinks ad easy cop  now👌
adidas adifom q ‘black’

gt httpstcodmbjeerqc6
gt httpstcodmbjeerqc6 httpstcogx3kt7zitc",0,0,0,1,0,1,0,1,1,0
"12","Texas","TX","lmao adidas just wanna piss kanye  😂",0,0,0,0,0,0,0,0,0,0
"12","West Virginia","WV","reezwanacmd perelmanspearls adidas wearfigs jaanuubydrneela amcollegegastro bmoshiree oh  mean kabob … httpstcopyvlzzyetz",0,0,0,0,0,0,0,0,0,0
"12","Illinois","IL","rt saraeisen   adidas  german company  traces  roots   dassler brothers members  nazi party whose shoe factory p…",0,0,0,0,0,0,0,0,0,0
"12","California","CA","rt saraeisen   adidas  german company  traces  roots   dassler brothers members  nazi party whose shoe factory p…",0,0,0,0,0,0,0,0,0,0
"12","Connecticut","CT","adidas  punt kanye   curb",0,1,0,0,0,0,0,0,0,0
"12","West Virginia","WV","none   major brands  gonna wanna deal  kanye   adidas stint",0,1,0,1,1,1,1,1,1,2
"12","Texas","TX","rt saraeisen   adidas  german company  traces  roots   dassler brothers members  nazi party whose shoe factory p…",0,0,0,0,0,0,0,0,0,0
"12","New York","NY","rt saraeisen   adidas  german company  traces  roots   dassler brothers members  nazi party whose shoe factory p…",0,0,0,0,0,0,0,0,0,0
"12","California","CA","snakeskin lands   adidas crazy 1  httpstcol18cgoujez gt cop  gt httpstcovipgsgxrtx httpstcozsrwaufuty",1,0,0,2,0,1,0,1,1,0
"12","Florida","FL","rt adidasjv thats  man 😊",0,0,0,0,0,0,0,0,0,0
"12","New York","NY","adidasus  one wash ’s starting  peel       expecting  adidas httpstcoex80kib7ke",0,1,0,0,0,0,0,0,0,0
"12","Kentucky","KY","rt adidasasstl congrats  ’s 14u hinton  winning gmb bucket bash aaa division httpstcowszzuvj3ak",0,1,1,0,1,1,1,1,0,1
"12","California","CA","walf51996326 adidas oh ya ’s  hard    white person  america 😂 ’d say   uber rich   factor  buddy",0,2,0,0,2,0,0,2,0,2
