"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"08","Texas","TX","rt newsmax two new advertisements  make america great  aim   opponents  former president donald trumpbacked dr mehmet oz…",0,0,0,0,0,0,0,1,0,1
"08","Tennessee","TN","rt dogrightgirl    president  cant count  three     charge   nuclear codes😂",0,0,0,0,0,0,0,2,0,2
"08","Georgia","GA","rt vicvela1 news president biden signs  executive order banning  broncos  ever appearing  national tv  httpstcojmj…",0,0,0,0,0,0,0,1,0,1
"08","Michigan","MI","rt whitehouse today’s jobs numbers reflect  president biden   saying  months – america    transition  stable  ste…",0,0,0,0,0,0,0,2,0,3
"08","Pennsylvania","PA","rt harrisonjaime expanding access  reproductive care boosting  country’s semiconductor industry 

president joebiden continues …",0,0,0,0,1,0,0,1,0,2
"08","Missouri","MO","csudaniel elizabehsotner dont fretformer vice president biden   ",0,0,0,0,0,0,0,1,1,1
"08","New Mexico","NM","good one mr president",0,1,0,0,1,0,1,2,0,2
"08","Wisconsin","WI","rt ddanpereira president biden coined  new term socialist republicans    voted    infrastructure bill    beg…",1,0,1,1,0,2,0,1,2,1
"08","Florida","FL","rt reallyamerican1 news house democrats  planning  censure marjorie taylor greene  calling president biden hitler

rt  …",0,1,0,0,0,0,0,2,1,2
"08","Kentucky","KY","rt 1drcole joe biden   best president  modern american history   agree please rt  friends   want  follow  plea…",0,1,0,1,0,1,0,1,1,2
"08","New York","NY","rt oann 45th president donald j trump  set  host  save america rally  oct 9th  mesa az  sure  tune   one america n…",0,0,0,0,1,0,1,2,0,2
"08","California","CA","rt kylenabecker weve gone  donald trump  greatest peacetime president since ronald reagan  bumbling biden now risking nuclear…",0,0,0,0,0,0,1,1,0,1
"08","New York","NY","rt ncgop cheribeasleync said president biden “ worked really hard  save  economy”     “welcome”  campaign  …",0,0,0,0,1,0,0,3,0,2
