"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"07","Washington","WA","marxismynigga  respect  love flowers  bread
 disagree friend
  also  activist   icon",1,1,0,0,3,0,0,2,1,3
"07","Minnesota","MN","nbcpolitics taking  shot   ’d say     taking  shot respecting science  caring   people",1,0,0,1,0,1,1,0,1,1
"07","California","CA","abc respecting  right   woman  choose    moral beliefs isnt   sign  high moral caliber   lefts side",1,0,0,0,0,0,0,1,0,2
"07","Colorado","CO","nftfairyland stargazerone9   respectful   ask   got  close call",0,0,0,0,0,0,0,1,0,1
"07","Pennsylvania","PA","  treat   nice  respectful women will try  walk    ",1,1,1,1,1,1,1,2,1,2
"07","California","CA","rt supriyashrinate  concerned son  anything else 

’s   respect rahul gandhi 

  mother    loved  cared…",0,2,0,1,2,2,0,2,1,2
"07","Texas","TX","rt bigmel  loved   minimum make sure    also bring respected prioritized supported amp understood",0,0,0,0,0,0,0,0,1,1
"07","Washington","WA","darkflower110 lelwurdegesper1 respectfulmemes   actually incorrect  found  recent studies  brain… httpstconjtywqxwrp",0,0,0,0,1,0,0,1,1,1
"07","Virginia","VA","rt mindtendencies2   someone  lets    without trying  change  control  respects  growth journey without t…",0,1,0,2,1,0,0,1,0,3
"07","North Carolina","NC","rt bbyshiesty  mouth  disrespectful  im mad  ’s    telling folks  just leave  alone 😂",2,0,2,2,0,3,2,0,3,0
"07","North Carolina","NC","rt jaybeware  interesting   respects bc   prisoners got  way  total refusal  perform  duties without pay long…",0,2,0,0,1,0,0,2,1,3
"07","Georgia","GA","rt casualtakeking lebron haters sick right now  man  still one   best   world   due respect 😭",0,1,1,0,1,1,0,1,1,1
"07","Texas","TX","raymeach kartakarta respect  mentioned definitely seem   good        name  opini… httpstco8ssbmigpc0",0,2,0,0,2,0,1,2,0,2
"07","North Carolina","NC","rt thenugsandjugs respect   goddess 😘 httpstcouj9hfn9seq",0,1,0,0,1,0,0,1,0,1
"07","Rhode Island","RI","clayharbs82 awesome man  get   brother respect  ain’t missing much anyways",0,1,0,1,1,1,0,2,1,2
"07","Texas","TX","catturd2  people respect ",0,1,0,0,1,0,0,1,0,1
"07","Texas","TX","lkjgreystone drgjackbrown  despise  jerk    completed ranger school    respect  ’s  b… httpstcooexp3mhjzz",2,1,1,0,1,0,1,3,1,1
"07","Illinois","IL","rt layercake  watching drdisrespect since 2016    time ’ve saved  select  songs ’s played  stream   decide…",0,1,0,0,0,0,0,0,0,0
"07","California","CA","mattyglesias  mans stature classic
  trying  prop  biden  respect  politics   know  g… httpstcocxkipu4qb5",1,1,0,0,1,0,0,1,0,3
"07","Texas","TX","rt alisaapps shake things  wherever  go 
  queenpin idisrespectyou httpstcov50gx227iy",0,0,0,0,0,0,0,0,0,0
"07","South Carolina","SC","rt casualtakeking broncos   banned  playing  national television   due respect",0,1,0,0,1,0,0,1,0,1
"07","Florida","FL","rt robertkudja finsup  wow fins fam  respect httpstcoyxdbok1i9h",0,1,0,0,1,0,0,1,0,1
"07","California","CA","rt mrchuckd ageism exists    realized  respected  ways…  101520 years apart   little  common social…",0,0,0,0,0,0,0,0,0,0
"07","Indiana","IN","georgetakei   daughters   brain  will choose wisely   respectable   spread  legs fo… httpstcoujpg9iv0jq",0,0,0,0,0,0,0,1,0,1
"07","South Carolina","SC","correct    jordan 1s    airships sent  jumpman23  maniereusa respectfully",0,0,0,0,0,0,0,0,0,0
"07","Texas","TX","rt willcompton    bad  watching  women’s high school basketball game

  due respect  women’s hs basketball  cour…",1,2,1,1,2,1,0,2,1,2
"07","Oklahoma","OK","man fuck  birds im leaving every light outside  900 million sounds like ’s plenty  keep  respecti… httpstcoykhewgfkor",0,0,0,0,0,0,0,0,0,0
"07","Florida","FL","lindseygrahamsc elonmusk   concerning      can  respect  kind  person  says … httpstco71qgyiluvv",0,1,0,0,2,0,0,2,0,2
"07","Michigan","MI","baumertennis ap  mean  orange man   kissing putins ass
f u c k    isnt respect  fear th… httpstcodxnsgcnf2p",1,1,0,1,1,0,0,1,2,1
"07","Texas","TX","   tell   wasting time   nigga without  disrespectful",1,1,2,2,0,2,0,0,2,0
"07","Michigan","MI","rt cryptopinklisa powderp316 saitamovement tokenmotion mad respect  powderp316 🫡
 contributing  time  resources amp making …",1,2,1,1,2,1,0,2,1,2
"07","New Jersey","NJ","bosstweed14 joeldehls   much  decoy  defenses   respect pitts  leaves  guys open  pl… httpstco3eddmwy4qx",0,1,0,0,1,0,1,1,0,1
"07","South Carolina","SC","rt hottadanwasabi   respect don’t  nothing  wouldn’t want   ",0,1,0,0,1,0,0,2,0,2
"07","Colorado","CO","rt willcompton    bad  watching  women’s high school basketball game

  due respect  women’s hs basketball  cour…",1,2,1,1,2,1,0,2,1,2
"07","Pennsylvania","PA","talkinbaseball  disrespect  phillies legend avisail garcia",1,0,0,0,0,0,0,0,1,0
"07","North Carolina","NC","lindseygrahamsc   due  likely  deserved respectyou   rino…  capital r free speech  m… httpstcoe82xycuzep",0,0,0,0,0,0,0,0,0,2
"07","Oklahoma","OK","rt joeyhelmer247 parkerthune hey    onegame star  heisman favorite  katy perry asked  …show  man  respect",0,2,0,0,3,0,0,4,0,3
"07","California","CA","shannonalgarin respectfully   usually agree   points  mostly ’re correct  social media leads ma… httpstcovkegmxvpmv",0,0,0,0,0,0,0,0,0,1
"07","Wisconsin","WI","itscrab   really good together   ’d like  see         due respect  collinsworth…",0,2,0,0,2,0,1,2,0,2
"07","Illinois","IL","rt nbamemes youve got  respect  hustle 😅 httpstcooe2pqg5gcw",0,1,0,0,1,0,0,1,0,1
"07","Texas","TX","rt ezuiequotes   people  deserve     life   ones  treat   love kindness  respect",2,3,1,1,3,1,1,3,1,5
"07","West Virginia","WV","sylveemhm dwtupdatee dreamwastaken hes  respectful  hand",0,0,0,0,0,0,0,1,0,1
"07","Florida","FL","thanks  baptisthealthjx   support   great cities symposium  october 12th theyre  respected lea… httpstcos8wcwfkgqx",0,0,0,0,0,0,0,0,0,0
"07","Texas","TX","gambino’s 1238 doesn’t get enough respect amp 21 went crazy",1,1,0,1,1,1,0,1,1,1
"07","New York","NY","rt rakhmonov1994    respect see  soon 👊🏼",0,1,0,0,1,0,0,1,0,1
"07","Florida","FL","rt anncoulter  disrespect    republicans  blake masters  absolutely  best person running  senate  year",1,0,0,0,0,0,0,1,1,0
