"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"10","California","CA","rt fridaghitis   iranian president raisi’s visit  alzahra  women’s university  women chanted “ don’t want  corrupt sys…",0,1,0,0,0,0,0,2,1,4
"10","Florida","FL","sydneysoloski alderson broaddus university class  2017 acrobatics amp tumbling",0,1,0,0,0,0,0,0,0,1
"10","Michigan","MI","rt khamani88 blessed  receive  first d1 offer  temple university thank  dlpride1  standraytontu   opportunity htt…",0,2,0,0,1,0,0,0,0,4
"10","North Carolina","NC","rt aeainformation  aea summer training program will  held  howard university  may 25 – july 23 2023  application portal …",0,1,0,0,0,0,0,0,0,1
"10","Kansas","KS","rt emilyvandy   blessed  excited  announce   will  continuing  academic  athletic career  pitt state university…",0,3,0,0,2,0,1,2,0,6
"10","Georgia","GA","rt ajmiller92   conversation  standraytontu   blessed  receive  offer  full ride scholarship  temple university te…",0,1,0,0,2,0,0,0,0,5
"10","Nevada","NV","rt hmethodistmd houston methodist rice university  baylor college  medicine  develop sleeping cap  helps  brain clear meta…",0,3,0,0,0,0,0,1,0,2
"10","Ohio","OH","rivalsportal please come  bowling green state university   apart   mens football family  truly e… httpstcowwmmhmzw54",0,2,0,0,2,0,0,1,0,3
"10","Massachusetts","MA","rt jamesmurphy2023 excited   received  offer  brown university coachjohnfiore brownufootball coachsheehan88 brownhcper…",0,2,0,0,1,0,1,1,0,4
"10","Florida","FL","rt dejiof54africa agbero  2 children  graduated  university  united states      home   8 months due t…",0,1,0,0,0,0,0,1,0,2
"10","Maryland","MD","rt gmbtheog caponedadon  mean    black kings quick  go   university  record young girls fight like theyre st…",1,2,0,1,1,1,1,0,2,2
"10","Minnesota","MN","rt nufdiran “bloody iran”

 student art display   azad university  tehran

 regime  killed  injured hundreds  …",1,2,1,2,1,3,1,0,2,2
"10","Pennsylvania","PA","rt dtaylor342 blessed  receive  first offer  waynesburg university🏈🐶whcoachgreen coachcowart1 coachlondoniii gatorsgarfield h…",0,1,0,0,1,0,0,0,0,3
"10","California","CA","mrswounded definitely canada steak burger  university",0,1,0,0,0,0,0,0,0,1
"10","New York","NY","rt muskuniversity “ don’t   soul    soul”

 elon musk",0,0,0,0,0,0,0,1,0,1
"10","New York","NY","rt elonmusk muskuniversity important  bear  mind  reading anything",1,0,0,1,0,0,0,1,0,2
"10","California","CA","muskuniversity elonmusk  propaganda  think  means opinionated   smart guy elon isnt  good  words  ",2,1,0,0,1,0,1,1,3,1
"10","Virginia","VA","rt chuckcallesto report vanderbilt university medical center suspends transgender operations  kids   video emerged  hospital…",0,2,0,2,0,1,0,3,0,3
"10","California","CA","rt cheribeasleync ’s homecoming season 

   great  catch   old friends   fayetteville state university tailgate…",0,1,0,0,0,0,1,0,0,1
"10","Missouri","MO","rt datboyjadenn bardiuniversity happy birthday baeeee",0,2,0,0,2,0,1,1,0,2
"10","Washington","WA","beat u3 alarm  comm silentaud burg incl banks  26xx block  ne university village st reported  109202… httpstcoasoqjpiue8",0,1,0,1,0,0,1,0,1,1
"10","Tennessee","TN","ajc emoryuniversity georgiatech 
 can  reverand support teaching 5
yr olds trans oral  anal sex
tea… httpstco5vplnhjllj",0,1,0,0,1,0,0,1,1,1
"10","California","CA","rt fridaghitis women  iran’s alzahra university  allwomen’s u  tehran   jeered president raisi sang  revolutionary …",0,1,0,0,0,0,0,1,0,3
"10","California","CA","rt omidm compelling performance  art students  azad university  sohanak tehran  reaction   government’s bloody crackdown…",1,2,1,2,1,2,1,0,2,3
"10","Illinois","IL","rt thisisraee ’m glad   asu   tuskegee     tuskegee university’s student section  everybody   …",0,2,0,0,1,0,0,0,0,2
"10","Alabama","AL","rt lesiavasylenko just minutes   home just 20 minutes ago   russia trying  hit  national university  park  th…",1,1,0,0,0,0,0,0,1,1
"10","Texas","TX","rt muskuniversity laws  thermodynamics
1  cant win
2  cant break even
3  cant stop playing

 elon musk",0,0,0,0,0,0,1,0,0,0
"10","California","CA","rt lesiavasylenko just minutes   home just 20 minutes ago   russia trying  hit  national university  park  th…",1,1,0,0,0,0,0,0,1,1
"10","Texas","TX","rt ngumenyuk  far 8 civilians killed24 wounded  kyiv  hit target   already known central park near  universitya …",1,0,0,0,0,0,0,0,1,0
"10","Colorado","CO","rt kareemrifai waiting  michael tracey  get  mad  russia bombing  busy university campus     ukraine blowing  …",1,1,1,1,0,1,0,0,1,1
"10","Illinois","IL","rt smittythegoat   launching rich decisions university tomorrow can’t wait y’  gonna love     store  y’ 💯💰…",0,4,0,0,1,0,0,0,1,3
"10","Washington","WA","bottingkruger computer science  engineering  university  california san diego    second wife  widow  34",0,1,0,0,0,1,0,0,0,1
