"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"23","New York","NY","rt btsglobally ’m voting  btstwt  favorite pop duo  group amas",0,0,0,0,1,0,1,1,1,1
"23","Georgia","GA","today  mandatory saturday voting  georgia   members  zas  showing    rhockthevote early ge… httpstco6fk3gc51gv",0,0,0,0,0,0,0,0,0,0
"23","New Mexico","NM","rt koat7news expanded early voting begins today  new mexico heres   need  know   go   polls  httpstcog3q…",0,0,0,0,0,0,0,0,0,0
"23","New York","NY","rt taylorswizzle14   losing terribly 

  voting  taylor swift  win artist   year   amas httpstcol7h185tkup",1,0,0,0,0,2,0,0,1,1
"23","North Carolina","NC","rt wihorne    literal klan tactic  emancipation  white conservatives found  way  criminalize black voting  via…",0,2,0,0,3,1,0,2,1,3
"23","Illinois","IL","rt juliusgoat voting   republicans   reason means voting   end  democracy   rise   fascist theocratic aut…",1,0,0,1,0,1,0,1,1,2
"23","Maryland","MD","’m voting  jose  favorite latin album   amas 3",0,0,0,0,1,0,0,1,0,1
"23","Maryland","MD","’m voting  jose  favorite latin album   amas 13",0,0,0,0,1,0,0,1,0,1
"23","California","CA","rt futuredocs  got  💯   voting report card 

 doctors  medical trainees  participation  elections     high…",0,1,0,1,0,0,0,1,0,2
"23","Texas","TX","rt btsqtsarchive im voting  bts btstwt  favorite pop duo  group   amas 🥰💜",0,0,0,0,1,0,1,1,1,1
"23","New Mexico","NM","rt teamheinrich ￣￣￣￣￣￣￣￣￣￣￣
            2 weeks left 
          early voting
＿＿＿＿＿＿＿＿＿＿＿ 
                 •◡• …",0,0,0,0,0,0,0,0,0,0
"23","Florida","FL","rt charliecrist early voting begins monday  several counties  florida 

find   cast  early vote  httpstcoxhjhirt…",1,1,0,0,1,1,1,1,1,1
"23","Pennsylvania","PA","rt ronfilipkowski  first   20 arrests made  desantis  people  voting    told   eligible   thro…",0,0,0,0,0,0,0,0,0,1
