"code","n_tweets","total_anger","total_anticipation","total_disgust","total_fear","total_joy","total_negative","total_positive","total_sadness","total_surprise","total_trust"
"AK",3,0,66.6666666666667,0,0,0,33.3333333333333,100,33.3333333333333,0,66.6666666666667
"AL",30,23.3333333333333,36.6666666666667,13.3333333333333,16.6666666666667,73.3333333333333,70,113.333333333333,36.6666666666667,36.6666666666667,76.6666666666667
"AR",21,33.3333333333333,33.3333333333333,14.2857142857143,23.8095238095238,52.3809523809524,52.3809523809524,85.7142857142857,33.3333333333333,33.3333333333333,95.2380952380952
"AZ",85,22.3529411764706,40,7.05882352941176,21.1764705882353,32.9411764705882,42.3529411764706,90.5882352941177,28.2352941176471,21.1764705882353,71.7647058823529
"CA",529,28.5444234404537,34.593572778828,10.2079395085066,18.9035916824197,61.8147448015123,68.0529300567108,107.372400756144,34.593572778828,42.5330812854442,77.3156899810964
"CO",49,26.530612244898,40.8163265306122,8.16326530612245,30.6122448979592,42.8571428571429,67.3469387755102,91.8367346938776,36.734693877551,30.6122448979592,73.469387755102
"CT",25,52,48,20,40,40,100,104,72,36,68
"DE",12,33.3333333333333,33.3333333333333,16.6666666666667,33.3333333333333,50,58.3333333333333,83.3333333333333,41.6666666666667,8.33333333333333,41.6666666666667
"FL",193,23.8341968911917,31.0880829015544,7.25388601036269,22.7979274611399,43.5233160621762,51.8134715025907,93.7823834196891,31.0880829015544,22.279792746114,69.9481865284974
"GA",136,23.5294117647059,35.2941176470588,8.08823529411765,19.1176470588235,49.2647058823529,52.9411764705882,92.6470588235294,36.7647058823529,25,64.7058823529412
"HI",13,30.7692307692308,23.0769230769231,0,23.0769230769231,76.9230769230769,69.2307692307692,130.769230769231,23.0769230769231,38.4615384615385,92.3076923076923
"IA",19,47.3684210526316,31.5789473684211,10.5263157894737,26.3157894736842,10.5263157894737,84.2105263157895,42.1052631578947,47.3684210526316,15.7894736842105,73.6842105263158
"ID",6,50,66.6666666666667,16.6666666666667,33.3333333333333,66.6666666666667,83.3333333333333,116.666666666667,66.6666666666667,66.6666666666667,83.3333333333333
