"created_at","state","code","text"
"16","California","CA","kittensgain im voting  doja cat  favorite female rampb artist   amas"
"16","New Jersey","NJ","michaeljburry pivoting   metaverse  something   socially awkward person   social awareness … httpstcoyju4ikpzus"
"16","Florida","FL","rt dwuhlfelderlaw “governor ron desantis  made voting easier  certain florida counties battered  hurricane ian –   republic…"
"16","New York","NY","girlsinrap latto ’m voting  dove cameron  new artist   year   amas"
"16","California","CA","rt dwuhlfelderlaw “governor ron desantis  made voting easier  certain florida counties battered  hurricane ian –   republic…"
"16","North Carolina","NC","rt thaogbrazyfool im voting  latto  new artist   year   amas  4"
"16","Georgia","GA","rt terryholton65 nickistreamteam ’m voting  dove cameron  new artist   year   amas"
"16","New York","NY","’m voting  nicki minaj  favorite female hiphop artist   amas    

’m voting  dove cameron  new… httpstcos8pkopxdbr"
"16","Georgia","GA","rt nmcaviar barbz let’s help karolg’s gteam 💞

im voting  mamiii  favorite latin song   amas 

— reply 100x httpstc…"
"16","Alabama","AL","rt funnymaine   see ppl voting  folks like herschel walker amp tuberville  understand   folks   fkn idea   se…"
"16","Delaware","DE","dovecharts ghostamethyst ’m voting  nicki minaj  favorite female hiphop artist   amas   

’m votin… httpstco3fft0tm6rd"
"16","Alabama","AL","writearapsis im voting  nicki minaj  favorite female hiphop artist   amas

im voting  dove camer… httpstcoj8y1pv8exv"
"16","Texas","TX","rt cardib2101 ’m voting  cardi b  favorite female hiphop artist   amas httpstcolio3zjlbca"
"16","California","CA","dovecharts ’m voting  nicki minaj  favorite female hiphop artist   amas"
"16","Tennessee","TN","rt thetnholler 🚨  “govrondesantis made voting easier  certain florida counties battered  hurricane ian –   republicanl…"
"16","Florida","FL","im voting  red taylors version  favorite pop album   amas"
"16","North Carolina","NC","nickistreamteam ’m voting  nicki minaj  favorite female hiphop artist   amas"
"16","New York","NY","’m voting  nicki minaj  favorite female hiphop artist   amas"
"16","New York","NY","rt theswiftvoting 📊 amas stats ‼️

1 taylor  459k
2 hs  141k
3   15k

im voting    well taylors version  favor…"
"16","California","CA","im voting  taylor swift  favorite female country artist   amas 15"
"16","New York","NY","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋"
"16","Missouri","MO"," love  facial expressions  performing hes  entertaining  watch 

’m voting  bts btstwt  fa… httpstcokg1oainnka"
"16","Pennsylvania","PA","’m voting  nicki minaj  favorite female hiphop artist   amas"
"16","Colorado","CO","rt angrystaffer 2007julie   depends  us   jobs  voting like  republic depends  —  republic depends…"
"16","New York","NY","6

’m voting  nicki minaj  favorite female hiphop artist   amas "
"16","Arizona","AZ","rt thestylesfandom ’m voting  “harry’s house”  favorite pop album   amas httpstcof7o4y61bzf"
"16","California","CA","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋"
"16","Texas","TX","rt msyonceslay beyoncé  artist   year  trending’ 

tweet im voting  beyoncé  artist   year   amas https…"
"16","Georgia","GA"," gap  just getting ridiculous army keep voting please along  voting  btstwt  favorite pop duo … httpstcolncdksdjic"
"16","Arizona","AZ","shadynickinews mtvema ’m voting  megan thee stallion  favorite female artist hiphop artist   amas"
"16","California","CA","rt racheldillin davidhogg111 trump   hypocrisy   evangelical preacher dad voting  "
"16","Georgia","GA","lets go wei comeback  october 19 rui   ready follow weigoupteam amp weivotingteam  voting amp str… httpstcoax9wklxsgc"
