"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"16","California","CA","kittensgain im voting  doja cat  favorite female rampb artist   amas",0,0,0,0,1,0,0,1,0,2
"16","New Jersey","NJ","michaeljburry pivoting   metaverse  something   socially awkward person   social awareness … httpstcoyju4ikpzus",0,0,0,0,0,0,0,0,0,0
"16","Florida","FL","rt dwuhlfelderlaw “governor ron desantis  made voting easier  certain florida counties battered  hurricane ian –   republic…",0,0,0,2,0,1,0,1,3,0
"16","New York","NY","girlsinrap latto ’m voting  dove cameron  new artist   year   amas",0,1,0,0,1,0,0,1,0,1
"16","California","CA","rt dwuhlfelderlaw “governor ron desantis  made voting easier  certain florida counties battered  hurricane ian –   republic…",0,0,0,2,0,1,0,1,3,0
"16","North Carolina","NC","rt thaogbrazyfool im voting  latto  new artist   year   amas  4",0,0,0,0,0,0,0,0,0,0
"16","Georgia","GA","rt terryholton65 nickistreamteam ’m voting  dove cameron  new artist   year   amas",0,1,0,0,1,0,0,1,0,1
"16","New York","NY","’m voting  nicki minaj  favorite female hiphop artist   amas    

’m voting  dove cameron  new… httpstcos8pkopxdbr",0,1,0,0,2,0,0,2,0,3
"16","Georgia","GA","rt nmcaviar barbz let’s help karolg’s gteam 💞

im voting  mamiii  favorite latin song   amas 

— reply 100x httpstc…",0,0,0,0,1,0,0,1,0,1
"16","Alabama","AL","rt funnymaine   see ppl voting  folks like herschel walker amp tuberville  understand   folks   fkn idea   se…",0,0,0,0,0,0,0,0,0,0
"16","Delaware","DE","dovecharts ghostamethyst ’m voting  nicki minaj  favorite female hiphop artist   amas   

’m votin… httpstco3fft0tm6rd",0,0,0,0,1,0,0,1,0,2
"16","Alabama","AL","writearapsis im voting  nicki minaj  favorite female hiphop artist   amas

im voting  dove camer… httpstcoj8y1pv8exv",0,1,0,0,2,0,0,2,0,3
"16","Texas","TX","rt cardib2101 ’m voting  cardi b  favorite female hiphop artist   amas httpstcolio3zjlbca",0,0,0,0,1,0,0,1,0,2
"16","California","CA","dovecharts ’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","Tennessee","TN","rt thetnholler 🚨  “govrondesantis made voting easier  certain florida counties battered  hurricane ian –   republicanl…",0,0,0,2,0,1,0,0,2,0
"16","Florida","FL","im voting  red taylors version  favorite pop album   amas",0,0,0,0,1,0,1,1,1,1
"16","North Carolina","NC","nickistreamteam ’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","New York","NY","’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","New York","NY","rt theswiftvoting 📊 amas stats ‼️

1 taylor  459k
2 hs  141k
3   15k

im voting    well taylors version  favor…",0,0,0,0,0,0,0,0,0,0
"16","California","CA","im voting  taylor swift  favorite female country artist   amas 15",0,0,0,0,1,0,0,1,0,3
"16","New York","NY","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋",0,1,0,1,0,2,0,1,1,2
"16","Missouri","MO"," love  facial expressions  performing hes  entertaining  watch 

’m voting  bts btstwt  fa… httpstcokg1oainnka",0,2,0,1,2,0,0,0,0,2
"16","Pennsylvania","PA","’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","Colorado","CO","rt angrystaffer 2007julie   depends  us   jobs  voting like  republic depends  —  republic depends…",0,0,0,0,0,0,0,0,1,0
"16","New York","NY","6

’m voting  nicki minaj  favorite female hiphop artist   amas ",0,0,0,0,1,0,0,1,0,2
"16","Arizona","AZ","rt thestylesfandom ’m voting  “harry’s house”  favorite pop album   amas httpstcof7o4y61bzf",1,0,0,0,1,1,1,1,2,1
"16","California","CA","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋",0,1,0,1,0,2,0,1,1,2
"16","Texas","TX","rt msyonceslay beyoncé  artist   year  trending’ 

tweet im voting  beyoncé  artist   year   amas https…",0,0,0,0,0,0,0,0,0,0
"16","Georgia","GA"," gap  just getting ridiculous army keep voting please along  voting  btstwt  favorite pop duo … httpstcolncdksdjic",1,0,1,0,1,0,1,1,3,1
"16","Arizona","AZ","shadynickinews mtvema ’m voting  megan thee stallion  favorite female artist hiphop artist   amas",0,0,0,0,1,0,0,1,0,3
"16","California","CA","rt racheldillin davidhogg111 trump   hypocrisy   evangelical preacher dad voting  ",0,0,0,0,0,0,1,0,1,0
"16","Georgia","GA","lets go wei comeback  october 19 rui   ready follow weigoupteam amp weivotingteam  voting amp str… httpstcoax9wklxsgc",0,1,0,0,0,0,0,0,0,0
"16","New York","NY","rt natalia112144 ’m voting  cardi b  favorite female artist hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","Arizona","AZ","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋",0,1,0,1,0,2,0,1,1,2
"16","Florida","FL","rt chuckcallesto breaking report  emergency complaint   filed  georgia election board alleging   dominion voting erro…",1,1,0,2,0,1,1,1,2,0
"16","Indiana","IN","rt billboardchris stop voting  democrats httpstcobkpjtlcx0b",0,0,0,0,0,0,0,0,0,0
"16","Colorado","CO","rt angrystaffer 2007julie   depends  us   jobs  voting like  republic depends  —  republic depends…",0,0,0,0,0,0,0,0,1,0
"16","New York","NY","rt onikapoppin barbz  ain’t letting ltto winning  award 🤭

im voting  steve lacy  new artist   year   amas",0,2,1,0,2,1,2,2,0,2
"16","Arizona","AZ","rt teampelosi      privacy   voting booth    power  preserve  privacy   doctor’s office 

…",0,0,0,0,0,0,0,1,0,2
"16","California","CA","barbiedup ’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","North Carolina","NC","rt teampelosi      privacy   voting booth    power  preserve  privacy   doctor’s office 

…",0,0,0,0,0,0,0,1,0,2
"16","California","CA","rt thenakedtruth1 y’   streaming ‘9’  lilkim streaming tomorrow2  voting  cardi b  amas",0,1,0,0,0,0,0,0,0,0
"16","New York","NY","rt dwuhlfelderlaw “governor ron desantis  made voting easier  certain florida counties battered  hurricane ian –   republic…",0,0,0,2,0,1,0,1,3,0
"16","California","CA","’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","Texas","TX","rt trending911  trending alert  emergency complaint filed  georgia election board alleges dominion voting “erroneous code” though…",1,1,0,2,0,1,1,1,3,0
"16","Virginia","VA","rt quancyclayborne remember  arent voting  herschel   like  theyre voting     hate  rest  u…",1,0,1,1,0,1,0,0,1,1
"16","New York","NY","rt cardimoneybag im voting  cardi b  favorite female hip hop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","Arizona","AZ","rt alexgulotta civic engagement beyond voting azcebvus voter guide ataglance good stuff  voting  az httpstcows84lic3i4",0,1,0,0,1,0,1,2,0,2
"16","California","CA","rt tellmthinkpink ’m voting  nicki minaj  favorite female hiphop artist   amas  

⬇️⬇️⬇️⬇️⬇️⬇️⬇️ httpstcoxgbdxeemm0",0,0,0,0,1,0,0,1,0,2
"16","Arizona","AZ","rt cochisecodems   reminders  voting  cochise county  
httpstcook4wgg6bxl",0,0,0,0,0,0,0,1,0,0
"16","California","CA","wantsomeonika ’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","California","CA","rt 01btsxarmy1 army 🆘️ panic voting  always work  2  days gap keeps increasing  1 almost 300k gap amp 3  catching…",0,0,0,1,0,0,0,0,2,0
"16","Nevada","NV","    many great poll watcher trainings  weekend  aren’t slowing   early voting starts s… httpstcowijgpxs7rt",0,0,0,0,0,0,0,1,0,0
"16","North Carolina","NC","get   early voting info  httpstcotkzenbwdyf
httpstcosapaesyg1y",0,0,0,0,0,0,0,0,0,0
"16","Arizona","AZ","rt metz4congress  psa   receive  ballots amp  voting  state house  legislative districts 2 amp 4    able  cas…",0,0,1,0,0,0,0,1,0,0
"16","Texas","TX","rt top100kpop voting closed    minutes  will start publishing  results

top100mostbeautifulface",0,2,0,0,0,0,0,1,0,1
"16","Tennessee","TN","’m voting ariastaylorswift  🤭🧣🎸⚜️🕰️🌃🌌🎶🪶 tsmidnights httpstcoftatnibqqm",0,0,0,0,0,0,0,0,0,0
"16","Connecticut","CT","rt reneeaclay believe  polls listen   talking heads focus   voting blue   way   ticket 
freshresists https…",0,0,0,0,0,1,0,0,0,1
"16","Massachusetts","MA","rt votinghshq   see     retweet

200 rts  200 votes lets go harries ariasharrystyles httpstcof1ydehwqsz",0,0,0,0,0,0,0,0,0,0
"16","New York","NY","donschun chaelinclminaji ’m voting  nicki minaj  favorite female hiphop artist   amas",0,0,0,0,1,0,0,1,0,2
"16","New York","NY","rt chuckcallesto breaking report  emergency complaint   filed  georgia election board alleging   dominion voting erro…",1,1,0,2,0,1,1,1,2,0
"16","Oregon","OR","rt theswiftsociety taylorswift13 im voting ariastaylorswift httpstcosofton4sp4",0,0,0,0,0,0,0,0,0,0
"16","Texas","TX","rt teampelosi      privacy   voting booth    power  preserve  privacy   doctor’s office 

…",0,0,0,0,0,0,0,1,0,2
"16","California","CA"," eunbin doesnt win  unanimous 70 voting next year  must  something gone wrong badly",0,0,0,0,0,1,0,0,2,1
"16","Florida","FL","rt hasdivinedthis ’m voting  dove cameron  new artist   year   amas",0,1,0,0,1,0,0,1,0,1
"16","Georgia","GA","rt proudofyounicki ohhhhh  karolgs fandom  named gteam  can officially say im  member  gteam 

’m voting  karol g  fa…",0,0,0,0,0,0,0,0,0,0
"16","New York","NY","annakaplanforli kathyhochul newsdayopinion leezeldin voting zeldin  save  state",0,0,0,0,1,0,0,1,0,1
"16","Alabama","AL","rt rncresearch walker “      concerned  voting   —  nonpolitician —  want   think   damage…",1,0,1,1,0,2,0,0,1,0
"16","Texas","TX","rt garycro99333196  tweet   families opinion begs amp answers  voting questions    us americans

todayi   fillup…",0,0,0,0,0,0,0,0,0,0
"16","Texas","TX","rt garycro99333196  tweet   families opinion begs amp answers  voting questions    us americans

todayi   fillup…",0,0,0,0,0,0,0,0,0,0
"16","Texas","TX","rt garycro99333196  tweet   families opinion begs amp answers  voting questions    us americans

todayi   fillup…",0,0,0,0,0,0,0,0,0,0
"16","New York","NY","rt ybarrap    folks think       done  

governor ron desantis  made voting easier  certain…",0,0,0,0,0,0,0,1,0,0
"16","Texas","TX","rt jessicaemiranda  important thread 🧵   consider   vote   midterm election 

early voting  open  ohio 💙",1,1,0,0,1,1,1,2,1,2
"16","Washington","WA","rt rbreich mark finchem  trumpbacked candidate running  arizona secretary  state wants  ban mailin voting

“ don’t care f…",0,0,0,0,0,0,0,1,1,2
"16","Texas","TX","rt karolgonstats lets support barbz   queen

’m voting  nicki minaj  favorite female hiphop artist   amas httpst…",0,0,0,0,1,0,0,1,0,2
"16","Florida","FL","rt marceelias  voted  critical voting rights legislation",0,0,0,0,0,0,0,0,0,0
"16","Texas","TX","rt billmckay42  left  gone   rails   point  will   d’s voting r  ever   history   midterms…",0,0,0,0,0,0,0,0,0,0
"16","Nevada","NV","rt 7amae  words needed 🥹 

lets make  voting season one  will never forget 💜 

im voting  btstwt  favorite pop duo …",1,0,0,0,1,0,1,1,3,1
"16","New York","NY","rt bellezaella1 im voting  bts bts
btstwt
  favorite kpop artist category   amas",0,0,0,0,1,0,0,1,0,1
"16","Texas","TX","mari74005816 sgaganmeet winwithjmc   uninitiated dont understand  2020 affected voting behavior going forward",0,0,0,0,0,0,0,0,1,1
"16","Texas","TX","swiffbridgers thisisemtrying   voting  ariastaylorswift",0,0,0,0,0,0,0,0,0,0
"16","Texas","TX","rt angrystaffer 2007julie   depends  us   jobs  voting like  republic depends  —  republic depends…",0,0,0,0,0,0,0,0,1,0
"16","Arizona","AZ","rt angrystaffer 2007julie   depends  us   jobs  voting like  republic depends  —  republic depends…",0,0,0,0,0,0,0,0,1,0
"16","Illinois","IL","jerasikehorn   wont  voting  november

  early voting  chicago   already voted

🤣",0,1,0,0,0,0,0,0,0,0
"16","New York","NY","rt ceintaku jeon jungkook

im voting  bts btstwt  favorite pop duo  group   amas2022",0,0,0,0,1,0,1,1,1,1
"16","Washington","WA","rt btsqtsarchive im voting  btstwt  favorite pop duo  group   amas",0,0,0,0,1,0,1,1,1,1
"16","Washington","WA","valeriabrownedu leticiatrower washington   vote  mail  ballots go  next week im voting asap",1,2,0,0,1,1,1,1,1,1
"16","Washington","WA","rt bangtanhiit im voting  btstwt  favorite pop duo  group   amas",0,0,0,0,1,0,1,1,1,1
"16","Maryland","MD","rt therickydavila ’ll  voting blue  ballot  november  beyond   democracy will perish otherwise    💙✋",0,1,0,1,0,2,0,1,1,2
"16","New York","NY","rt quancyclayborne remember  arent voting  herschel   like  theyre voting     hate  rest  u…",1,0,1,1,0,1,0,0,1,1
