"state","top_5","top_5_filtered"
"Alabama","favorite, im, amas, artist, early","favorite, im, amas, artist, early, female, georgia, hiphop, minaj, nicki, pop, vote, btstwt, duo, group, begins, bts, day, m, today, voters, 2, amp, black, breaking, can, election, first, like, numbers, record, red, votes, walker, 1, 2022, attorneycbruce, ballot, cast, elections, get, go, havent, herschel, know, mail, male, need, now, open, people, please, polls, republicans, reverendwarnock, rights, seen, social, state, turned, us, want, will, yes"
"Alaska","ballot, stamps, two, absentee, akelect","ballot, amas, artist, dont, im, please, swift, taylor, will, year, youre"
"Arizona","amas, artist, favorite, m, early","amas, artist, favorite, m, early, female, georgia, rights, will, blue, hiphop, vote, im, like, today, amp, breaking, economy, election, first, minaj, nicki, privacy, ronfilipkowski, said, 2, ballot, black, day, elections, florida, get, gop, just, make, november, polls, pop, record, right, state, sure, thanks, video, voter, white, year, btstwt, can, days, don’t, duo, ever, group, help, house, keep, mail, midterm, new, now, people, republicans, reverendwarnock, security, social, starts, swift, taylor, us, voted, voters, 1, 2022, abortion, album, attorneycbruce, cast, country, democracy, democrats, desantis, havent, latto, lets, male, nickiminaj, numbers, open, re, red, reply, republican, s, seen, trump, turned, votes, want, women, yes"
"Arkansas","early, days, favorite, im, monday","early, days, favorite, im, starts, vote, 20, begins, blue, can, desantis, duo, georgia, group, m, make, november, polls, pop, republican, republicans, today, 2, amas, amas   , amp, breaking, bts, btstwt, cast, day, democracy, dont, elections, every, first, get, gop, house, keep, midterm, now, numbers, one, record, reply, retweet, reverendwarnock, rights, roe, s, state, sure, trump, voted, voters, votes, walker, white, will, yes"
"California","amas, favorite, im, pop, m","amas, favorite, im, pop, m, artist, btstwt, duo, group, vote, bts, early, alexailacad, female, kdestrada, kdlex, kdlexvotingteam, songs, sweethearts, year, album, georgia, lets, day, continue, hiphop, reply, rights, get, minaj, nicki, beyoncé, please, red, 1, rampb, s, will, first, version, black, blue, know, 2, can, like, taylor, voters, amp, just, music, now, record, harry, male, styles, swift, today, people, song, amas   , desantis, election, one, republicans, democrats, november, numbers, state, video, votes, cast, elections, florida, re, 2022, 8th, breaking, category, country, mail, taylors, want, wizkid, yes, afrobeats, arrested, begins, days, don’t, ever, havent, house, keep, said, seen, turned, abortion, attorneycbruce, f, gop, need, privacy, republican, retweet, right, starts, thanks, b, democracy, economy, every, go, local, make, midterm, new, nickiminaj, us, voted, white, women, youre, ballot, democrat, hes, ronfilipkowski, stop, sure, time, voter, years, 20, cardi, dont, help, herschel, marco, mmpadellan, open, reverendwarnock, rubio, polls, roe, security, social, trump, walker"
"Colorado","im, one, us, depends, early","im, one, us, early, will, btstwt, can, duo, favorite, pop, vote, bts, georgia, group, 8th, amas, blue, democracy, elections, just, like, november, people, retweet, today, want, arrested, ballot, black, country, democrat, dont, economy, election, ever, every, go, keep, lets, m, make, marco, polls, red, republicans, rights, ronfilipkowski, rubio, said, stop, taylor, white, youre, 1, 2, abortion, artist, cast, day, democrats, desantis, f, first, florida, get, gop, help, herschel, hes, house, know, local, mail, mmpadellan, new, open, please, record, reply, roe, s, security, social, state, swift, taylors, thanks, trump, version, voter, votes, walker, year, years, yes"
"Connecticut","early, vote, rights, blue, im","early, vote, rights, blue, im, people, red, voters, yes, amas, amp, artist, black, democracy, economy, favorite, first, georgia, know, m, pop, record, republicans, s, swift, taylor, album, arrested, attorneycbruce, breaking, bts, btstwt, can, country, day, democrat, democrats, dont, don’t, election, female, gop, havent, keep, like, mail, make, male, midterm, now, numbers, polls, re, reply, republican, right, roe, said, security, seen, social, state, stop, sure, taylors, turned, version, video, voter, will, women, year, years"
"Delaware","early, m, amas, artist, day","early, m, amas, artist, day, 2, favorite, female, first, hiphop, record, republican, rights, s, votes, 8th, b, begins, breaking, cardi, cast, days, democrats, election, georgia, harry, just, minaj, nicki, november, numbers, please, republicans, retweet, roe, said, security, social, starts, stop, styles, sure, time, vote, voters, year, youre"
"Florida","amas, m, favorite, artist, im","amas, m, favorite, artist, im, early, female, hiphop, nicki, georgia, minaj, election, pop, just, vote, year, get, republican, will, album, red, group, ballot, blue, btstwt, november, retweet, said, b, black, breaking, day, duo, florida, know, new, record, republicans, rights, s, swift, taylor, women, bts, can, don’t, gop, like, make, marco, people, state, version, voters, youre, 8th, cardi, cast, desantis, one, reply, right, rubio, sure, taylors, today, votes, want, begins, country, herschel, now, numbers, polls, ronfilipkowski, time, voter, walker, years, 2, amp, arrested, dont, economy, every, f, first, help, hes, mail, mmpadellan, re, roe, starts, us, video, white, 2022, abortion, amas   , beyoncé, category, days, democrat, democrats, elections, go, harry, house, keep, latto, lets, male, nickiminaj, privacy, rampb, reverendwarnock, security, social, stop, styles, voted, 1, 20, afrobeats, attorneycbruce, ever, havent, local, need, open, please, seen, song, songs, thanks, trump, turned, wizkid"
"Georgia","early, amas, m, favorite, artist","early, amas, m, favorite, artist, female, hiphop, im, vote, georgia, day, minaj, nicki, first, black, breaking, record, amp, votes, voters, get, numbers, republican, s, year, 20, cast, pop, reply, reverendwarnock, rights, will, btstwt, can, duo, keep, nickiminaj, people, re, seen, today, b, blue, cardi, country, days, go, group, help, lets, male, new, polls, starts, turned, voted, yes, attorneycbruce, beyoncé, democracy, election, elections, florida, gop, havent, just, know, like, mmpadellan, please, rampb, retweet, song, taylor, 1, 2022, album, amas   , begins, democrat, democrats, don’t, every, herschel, make, midterm, music, now, trump, us, walker, women, 2, abortion, arrested, bts, category, desantis, dont, economy, ever, f, hes, house, latto, marco, need, november, one, open, red, republicans, right, roe, rubio, said, security, social, state, swift, taylors, thanks, time, version, video, voter, want, white"
"Hawaii","amas, favorite, im, bts, btstwt","amas, favorite, im, bts, btstwt, duo, group, pop, m, artist, cast, category, female, hiphop, nickiminaj, vote, votes, album, b, cardi, early, every, georgia, go, lets, mail, music, new, now, red, rubio, starts, taylor, taylors, version"
"Idaho","vote, early, red, 131318, 2022","vote, early, red, 2022, breaking, bts, btstwt, can, cast, day, don’t, duo, favorite, first, georgia, get, group, know, m, music, need, numbers, polls, pop, record, reverendwarnock, said, social, starts, state, voters, votes"
