code,total_anger,total_anticipation,total_disgust,total_fear,total_joy,total_negative,total_positive,total_sadness,total_surprise,total_trust
AK,51.83580158,0,36.75453576,41.97595125,0,46.69989028,0,30.56262734,31.88150676,0
AL,43.19650132,14.76834603,13.12661992,34.97995938,7.049590684,16.67853224,23.54258717,21.8304481,0,21.04937295
AR,30.49164799,16.2162231,32.43047273,24.69173603,11.61109054,16.48231422,19.38801296,17.97801608,18.75382751,31.2025999
AZ,27.93546193,24.76129874,13.20522243,21.36500513,14.1836076,22.65084499,22.36780737,19.21602318,17.18165035,20.11664624
CA,21.63581283,21.57462725,17.25865158,18.61542186,22.14184483,23.39055374,18.34274618,24.71586385,24.95074442,21.8327757
CO,22.53730503,8.98942802,59.92587353,27.37562038,12.8731656,30.45645018,14.33027045,14.9491112,31.18843053,19.21899269
CT,0,37.59215354,0,19.07997784,0,12.73633371,19.97552851,62.51446501,43.47478195,16.07406662
DE,0,22.97298272,61.25755961,23.31997292,32.89808986,31.13326019,12.20726742,25.46885611,0,19.64608142
FL,25.74625906,19.85413407,23.73223336,24.32381281,20.58853968,23.19530974,18.91722236,22.01116373,19.00222257,18.14985668
GA,17.44474092,19.88046581,15.9034049,10.0903729,37.01035109,18.85957107,17.95876842,22.04035625,41.3846482,27.20226658
HI,13.64100042,10.88193918,58.03347752,27.6157574,15.58330572,29.49466754,14.45597458,24.12839,12.5848053,23.26509642
IA,10.36716032,24.81082134,0,25.18557075,35.52993705,16.8119605,21.97308136,27.5063646,0,28.29035725
ID,28.79766754,22.97298272,0,0,32.89808986,15.56663009,24.41453484,25.46885611,53.13584461,19.64608142
IL,18.70363975,27.70968019,11.36738219,19.47337945,21.36680063,20.22057105,23.78529425,21.26780768,14.79038974,21.87398756
IN,26.58246235,15.90437265,42.40907973,26.90766106,22.77560067,25.14609477,14.08530856,11.75485667,36.78635396,18.13484439
KS,22.05778791,17.59632719,35.19051297,26.79316037,18.89890268,29.8084406,14.02537108,24.385075,20.34989793,15.04806236
KY,10.79912533,8.61486852,0,26.23496953,12.3367837,17.51245885,27.4663517,28.65246313,0,44.2036832
LA,14.67050988,23.40643522,31.20668131,7.919990802,33.51880854,10.57356006,26.94811865,8.64980019,54.13840771,26.68901627
MA,24.68371504,24.61391006,32.81654979,24.98568527,14.09918137,20.01423869,14.3871366,16.37283607,34.15875725,25.25924754
MD,38.01292116,8.270273779,36.75453576,41.97595125,7.895541566,29.88792978,10.25410463,21.39383914,19.12890406,14.14517862
ME,13.64100042,32.64581755,0,11.04630296,15.58330572,14.74733377,28.91194916,36.192585,25.1696106,18.61207714
MI,8.015845605,17.05211088,28.41845549,21.63708827,27.47160081,20.22057105,21.52002813,28.35707691,24.65064956,21.87398756
MN,18.18800055,21.76387837,29.01673876,18.41050493,25.9721762,17.20522273,15.41970622,36.192585,16.7797404,24.81610285
MO,0,30.25709919,26.89356275,20.47607378,14.44306384,17.08532571,26.79644068,11.18144903,11.66396589,38.81299012
MS,129.5895039,0,0,0,0,70.04983542,0,0,0,0
MT,0,103.3784222,0,104.9398781,0,0,0,0,0,0
NC,18.62364129,23.5232338,19.80783365,20.10824012,19.50246046,17.61732388,24.99931412,20.58859626,25.77247553,21.1754171
ND,28.79766754,22.97298272,61.25755961,34.97995938,16.44904493,23.34994514,12.20726742,12.73442806,26.5679223,9.82304071
NE,0,38.76690834,34.45737728,13.11748477,18.50517555,26.26868828,13.73317585,28.65246313,0,33.1527624
NH,32.39737599,0,0,39.3524543,0,43.78114714,34.33293962,14.32623156,0,0
NJ,25.22981493,23.78618565,14.63676203,16.71608678,18.34141293,21.07694163,19.44520474,22.31342261,29.62440894,23.47098223
NM,8.937207169,14.25909272,38.02193355,21.71169892,40.8390081,19.32409253,18.94231152,23.71238328,0,30.48529876
NV,12.95895039,31.01352667,0,0,29.60828087,14.00996708,32.95962204,22.9219705,47.82226015,17.68147328
NY,26.8857892,23.16362988,20.58864037,22.64262931,17.19983121,17.43979305,21.42603369,18.07126305,23.81191377,23.47747489
OH,20.38486579,20.90799551,18.58375404,14.14919705,19.96063879,18.88984326,24.68885546,25.75502304,16.11986297,25.82687108
OK,29.90527014,31.8087453,0,8.072298318,22.77560067,16.16534663,16.90237028,26.4484275,36.78635396,27.20226658
OR,27.76917942,18.46043254,29.53489481,22.48711674,15.86157904,20.01423869,25.50446943,12.27962705,8.539689312,25.25924754
PA,25.08183947,16.00698151,28.45512446,20.31094415,17.19190502,19.88511457,19.13784505,25.14022571,24.68245685,25.09628465
RI,0,0,0,0,148.0414044,0,54.93270339,0,0,0
SC,14.39883377,0,15.3143899,23.31997292,16.44904493,35.02491771,27.4663517,12.73442806,26.5679223,24.55760178
TN,16.40373468,26.17175246,27.91483729,10.6268231,29.98306924,15.96072199,19.46981892,23.21212203,30.26725326,26.85793409
TX,13.77695723,19.23319483,27.47432075,16.73459851,28.52625067,17.22155422,23.72508784,19.79970874,20.65413229,28.19636935
UT,0,29.53669207,0,0,0,0,78.47529056,0,0,25.25924754
VA,27.4131643,27.83265214,15.9034049,26.23496953,14.23475042,17.51245885,22.18436099,15.42824938,27.58976547,18.70155828
VT,0,0,0,0,0,0,0,0,0,0
WA,15.02487002,26.96828406,23.97034941,18.25041359,17.1642208,16.2434401,27.06828863,13.28809884,20.79228702,28.18785595
WI,8.639300263,13.78378963,18.37726788,13.99198375,19.73885392,28.01993417,14.64872091,45.843941,47.82226015,17.68147328
WV,28.79766754,15.31532181,0,7.773324306,32.89808986,15.56663009,16.27635656,33.95847482,35.42389641,32.74346903
