"word","freq"
"amas",976
"favorite",904
"m",651
"artist",622
"im",552
"early",437
"pop",409
"female",319
"btstwt",318
"vote",308
"duo",285
"group",282
"hiphop",246
"georgia",218
"year",210
"bts",198
"nicki",176
"minaj",174
"will",172
"day",164
"rights",145
"album",135
"election",120
"get",119
"today",118
"people",115
"red",112
"first",111
"taylor",111
"s",110
"just",105
"black",104
"blue",104
"can",103
"amp",99
"swift",94
"republican",91
"like",89
"november",89
"record",89
"b",88
"reply",88
"breaking",86
"voters",85
"beyoncé",83
"votes",80
"version",78
"make",75
"begins",74
"cardi",73
"new",72
"now",71
"starts",71
"gop",70
"rampb",70
"republicans",69
"state",69
"elections",68
"2",66
"lets",66
"1",64
"days",64
"know",64
"desantis",62
"economy",62
"keep",62
"one",62
"said",62
"country",61
"re",61
"song",61
"ballot",60
"numbers",60
"retweet",60
"cast",59
"florida",59
"don’t",58
"please",58
"mail",56
"want",54
"us",53
"democrats",52
"harry",50
"2022",49
"taylors",49
"youre",49
"styles",48
"voted",47
"8th",46
"house",46
"music",46
"sure",46
"category",45
"songs",45
"male",44
"hes",43
"nickiminaj",43
"video",43
"wizkid",43
"alexailacad",42
"ever",42
"go",42
"kdestrada",42
"kdlex",42
"kdlexvotingteam",42
"polls",42
"seen",42
"sweethearts",42
"white",42
"yes",42
"abortion",41
"arrested",41
"security",41
"social",41
"20",40
"afrobeats",40
"right",40
"ronfilipkowski",40
"time",39
"democracy",38
"democrat",38
"every",38
"need",38
"walker",38
"herschel",37
"midterm",36
"mmpadellan",36
"dont",35
"voter",35
"help",34
"rubio",34
"turned",34
"women",34
"continue",33
"latto",33
"trump",33
"marco",32
"open",32
"privacy",32
"stop",32
"thanks",32
"years",32
"amas   ",31
"attorneycbruce",31
"f",31
"havent",31
"local",31
"reverendwarnock",31
"roe",31
